"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"5097";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00049";"0.3";"";"Karlstein (Bad Reichenhall)"
"5098";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00050";"0.3";"";"Karlstein (Bad Reichenhall)"
"5099";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00051";"0.3";"";"Karlstein (Bad Reichenhall)"
"5100";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00052";"0.3";"";"Karlstein (Bad Reichenhall)"
"5101";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00053";"0.3";"";"Karlstein (Bad Reichenhall)"
"5102";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00054";"0.3";"";"Karlstein (Bad Reichenhall)"
"5103";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00055";"0.3";"";"Karlstein (Bad Reichenhall)"
"5104";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00056";"0.3";"";"Karlstein (Bad Reichenhall)"
"5105";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00057";"0.3";"";"Karlstein (Bad Reichenhall)"
"5106";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00058";"0.3";"";"Karlstein (Bad Reichenhall)"
