"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"5654";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1224";"";"10.4";""
"5655";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1231";"0.69";"10.4";"Karlstein (Bad Reichenhall)"
"5656";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC1232";"0.34";"8.6";""
"5657";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC1233";"";"8.4";""
"5659";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC1367";"";"8.1";"Karlstein (Bad Reichenhall)"
"5660";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC1402";"0.45";"9";"Karlstein (Bad Reichenhall)"
"5661";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC1403";"0.45";"9.2";"Karlstein (Bad Reichenhall)"
"5662";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC1404";"0.4";"8.6";"Karlstein (Bad Reichenhall)"
"5663";"Kreuzmünze mit Ringel";"Av. Irregular hump as remnant of a head.";"Rv. Cross in the angles V. Ringlet with inner dot, torques and three dots.";"";"";"Staatliche Münzsammlung München";"MC1405";"0.4";"8";"Karlstein (Bad Reichenhall)"
"5664";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC1406";"0.43";"9.5";"Karlstein (Bad Reichenhall)"
"5665";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC1407";"0.41";"9.8";"Karlstein (Bad Reichenhall)"
"5666";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1408";"0.35";"9.8";"Karlstein (Bad Reichenhall)"
"5667";"Pegasos protome";"";"";"";"";"Staatliche Münzsammlung München";"MC1409";"0.41";"8.3";"Karlstein (Bad Reichenhall)"
"5668";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC1410";"0.25";"8.7";"Karlstein (Bad Reichenhall)"
"5668";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC1410";"0.25";"8.7";"Karlstein (Bad Reichenhall)"
"5669";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC1411";"0.52";"8";"Karlstein (Bad Reichenhall)"
"5670";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC1412";"0.38";"8.1";"Karlstein (Bad Reichenhall)"
"5671";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1413";"";"10.5";""
"5675";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1628";"0.39";"9.1";"Manching"
"5677";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1636";"";"9.9";""
"5680";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC1651";"0.33";"8.5";"Manching"
"5681";"Dühren var.";"Head to r. with line nose and lip dots.";"Cross, in the angles opposite V and three ringlets.";"";"";"Staatliche Münzsammlung München";"MC1894";"0.44";"7.7";""
"5683";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MCKeltengeld439";"";"8.3";""
"5684";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"Staatliche Münzsammlung München";"MCKeltengeld466";"";"9.4";""
"5685";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MCKeltengeld468";"";"8.3";""
"5752";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.92";"0.39";"";"Linz-Neubau"
"5753";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.93";"0.37";"";"Linz-Neubau"
"5754";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.95";"0.36";"";"Linz-Neubau"
"5755";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.96";"0.36";"";"Linz-Neubau"
"5756";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.97";"";"";"Linz-Neubau"
"5757";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.98";"";"";"Linz-Neubau"
"5758";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.99";"";"";"Linz-Neubau"
"5760";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.100";"";"";"Linz-Neubau"
"5760";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.100";"";"";"Linz-Neubau"
"5761";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.101";"";"";"Linz-Neubau"
"5762";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.102";"";"";"Linz-Neubau"
"5763";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.103";"";"";"Linz-Neubau"
"5764";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.104";"";"";"Linz-Neubau"
"5765";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.105";"";"";"Linz-Neubau"
"5766";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.106";"";"";"Linz-Neubau"
"5767";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.107";"";"";"Linz-Neubau"
"5768";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.108";"";"";"Linz-Neubau"
"5770";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.109";"";"";"Linz-Neubau"
"5771";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.110";"";"";"Linz-Neubau"
"5772";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.111";"";"";"Linz-Neubau"
"5773";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.112";"";"";"Linz-Neubau"
"5774";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.113";"";"";"Linz-Neubau"
"5774";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.113";"";"";"Linz-Neubau"
"5775";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A. 114";"";"";"Linz-Neubau"
"5776";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.115";"";"";"Linz-Neubau"
"5777";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.116";"";"";"Linz-Neubau"
"5778";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.117";"";"";"Linz-Neubau"
"5779";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.118";"";"";"Linz-Neubau"
"5780";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.119";"";"";"Linz-Neubau"
"5781";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.120";"";"";"Linz-Neubau"
"5782";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.121";"";"";"Linz-Neubau"
"5783";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.122";"";"";"Linz-Neubau"
"5784";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.123";"";"";"Linz-Neubau"
"5785";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.124";"";"";"Linz-Neubau"
"5786";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.125";"";"";"Linz-Neubau"
"5787";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.127";"";"";"Linz-Neubau"
"5788";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.126";"";"";"Linz-Neubau"
"5789";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.128";"";"";"Linz-Neubau"
"5790";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.129";"";"";"Linz-Neubau"
"5791";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.130";"";"";"Linz-Neubau"
"5792";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A. 131";"";"";"Linz-Neubau"
"5793";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.132";"";"";"Linz-Neubau"
"5794";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.133";"";"";"Linz-Neubau"
"5795";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.134";"";"";"Linz-Neubau"
"5796";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.135";"";"";"Linz-Neubau"
"5797";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.136";"";"";"Linz-Neubau"
"5798";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.137";"";"";"Linz-Neubau"
"5799";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.138";"";"";"Linz-Neubau"
"5800";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.139";"";"";"Linz-Neubau"
"5800";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.139";"";"";"Linz-Neubau"
"5801";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.140";"";"";"Linz-Neubau"
"5801";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.140";"";"";"Linz-Neubau"
"5802";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.141";"";"";"Linz-Neubau"
"5802";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.141";"";"";"Linz-Neubau"
"5803";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.142";"";"";"Linz-Neubau"
"5803";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.142";"";"";"Linz-Neubau"
"5804";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.145";"";"";"Linz-Neubau"
"5805";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.143";"";"";"Linz-Neubau"
"5805";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.143";"";"";"Linz-Neubau"
"5806";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.146";"";"";"Linz-Neubau"
"5807";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.144";"";"";"Linz-Neubau"
"5807";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.144";"";"";"Linz-Neubau"
"5808";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.147";"";"";"Linz-Neubau"
"5809";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.148";"";"";"Linz-Neubau"
"5810";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.149";"";"";"Linz-Neubau"
"5811";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.150";"";"";"Linz-Neubau"
"5812";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.151";"";"";"Linz-Neubau"
"5813";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.152";"";"";"Linz-Neubau"
"5814";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.153";"";"";"Linz-Neubau"
"5816";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.154";"";"";"Linz-Neubau"
"5817";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.155";"";"";"Linz-Neubau"
"5818";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.156";"";"";"Linz-Neubau"
"5819";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.157";"";"";"Linz-Neubau"
"5820";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.158";"";"";"Linz-Neubau"
"5821";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.159";"";"";"Linz-Neubau"
"5828";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.160";"";"";"Linz-Neubau"
"5829";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.161";"";"";"Linz-Neubau"
"5830";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.162";"";"";"Linz-Neubau"
"5831";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.163";"";"";"Linz-Neubau"
"5832";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.164";"";"";"Linz-Neubau"
"5833";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.165";"";"";"Linz-Neubau"
"5834";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.166";"";"";"Linz-Neubau"
"5835";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.167";"";"";"Linz-Neubau"
"5836";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.168";"";"";"Linz-Neubau"
"5837";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.169";"";"";"Linz-Neubau"
"5838";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.170";"";"";"Linz-Neubau"
"5839";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.171";"";"";"Linz-Neubau"
"5840";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.172";"";"";"Linz-Neubau"
"5841";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.173";"";"";"Linz-Neubau"
"5842";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.174";"";"";"Linz-Neubau"
"5843";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.175";"";"";"Linz-Neubau"
"5844";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.176";"";"";"Linz-Neubau"
"5845";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.177";"";"";"Linz-Neubau"
"5846";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.178";"";"";"Linz-Neubau"
"5847";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"";"A.179";"";"";"Linz-Neubau"
"5848";"Stachelhaar b";"Head to r., short strands of hair with end points";"Horse to l., above five dots.";"";"";"";"A.180";"";"";"Linz-Neubau"
"5849";"Small silver uncertain type";"";"";"";"";"";"A.181";"";"";"Linz-Neubau"
"5850";"Small silver uncertain type";"";"";"";"";"";"A.182";"";"";"Linz-Neubau"
"5851";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.183";"";"";"Linz-Neubau"
"5852";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.184";"";"";"Linz-Neubau"
"5865";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"";"A.197";"";"";"Linz-Neubau"
"5866";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"";"A.198";"";"";"Linz-Neubau"
"5867";"Small silver uncertain type";"";"";"";"";"";"A.199";"";"";"Linz-Neubau"
"5868";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"";"A.200";"";"";"Linz-Neubau"
"5869";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.201";"";"";"Linz-Neubau"
"5870";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.202";"";"";"Linz-Neubau"
"5871";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.203";"";"";"Linz-Neubau"
"5872";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.204";"";"";"Linz-Neubau"
"5873";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.205";"";"";"Linz-Neubau"
"5874";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.206";"";"";"Linz-Neubau"
"5875";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.207";"";"";"Linz-Neubau"
"5876";"Small silver uncertain type";"";"";"";"";"";"A.208";"";"";"Linz-Neubau"
"5877";"Roseldorf II";"Horse to l.";"Horse to l., below a torques, inside a globe.";"";"";"";"A.209";"";"";"Linz-Neubau"
"5878";"Magdalensberg";"";"";"";"";"";"A.210";"";"";"Linz-Neubau"
"5879";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"";"A.211";"";"";"Linz-Neubau"
"5880";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"";"A.212";"";"";"Linz-Neubau"
"5887";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.219";"";"";"Linz-Neubau"
"5888";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.220";"";"";""
"5889";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.221";"";"";"Linz-Neubau"
"5889";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.221";"";"";"Linz-Neubau"
"5890";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.222";"";"";"Linz-Neubau"
"5891";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.223";"";"";"Linz-Neubau"
"5892";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.224";"";"";"Linz-Neubau"
"5892";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.224";"";"";"Linz-Neubau"
"5893";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.225";"";"";"Linz-Neubau"
"5894";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.226";"";"";"Linz-Neubau"
"5895";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.227";"";"";"Linz-Neubau"
"5896";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.228";"";"";"Linz-Neubau"
"5897";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.229";"";"";"Linz-Neubau"
"5898";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.230";"";"";"Linz-Neubau"
"5899";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.231";"";"";"Linz-Neubau"
"5900";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.232";"";"";"Linz-Neubau"
"5901";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.233";"";"";"Linz-Neubau"
"5902";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.234";"";"";"Linz-Neubau"
"5903";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.235";"";"";"Linz-Neubau"
"5904";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.236";"";"";"Linz-Neubau"
"5905";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.237";"";"";"Linz-Neubau"
"5906";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.238";"";"";"Linz-Neubau"
"5907";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.239";"";"";"Linz-Neubau"
"5908";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.240";"";"";"Linz-Neubau"
"5909";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.241";"";"";"Linz-Neubau"
"5910";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.242";"";"";"Linz-Neubau"
"5911";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.243";"";"";"Linz-Neubau"
"5912";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.244";"";"";"Linz-Neubau"
"5913";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.245";"";"";"Linz-Neubau"
"5913";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.245";"";"";"Linz-Neubau"
"5914";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"";"A.246";"";"";"Linz-Neubau"
"5914";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.246";"";"";"Linz-Neubau"
"5915";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.247";"";"";"Linz-Neubau"
"5916";"Prokisch Manching ähnlich";"Head to left, wavy hair.";"Horse to left, above five dots.";"";"";"";"A.248";"";"";"Linz-Neubau"
"5917";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.249";"";"";"Linz-Neubau"
"5917";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.249";"";"";"Linz-Neubau"
"5918";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.250";"";"";"Linz-Neubau"
"5918";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.250";"";"";"Linz-Neubau"
"5919";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.251";"";"";"Linz-Neubau"
"5919";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.251";"";"";"Linz-Neubau"
"5920";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.252";"";"";"Linz-Neubau"
"5920";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.252";"";"";"Linz-Neubau"
"5921";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.253";"";"";"Linz-Neubau"
"5921";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.253";"";"";"Linz-Neubau"
"5922";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.254";"";"";"Linz-Neubau"
"5923";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"";"A.255";"";"";"Linz-Neubau"
"5923";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"";"A.255";"";"";"Linz-Neubau"
